Date,BOVESPA OPEN,DJIA Open,NIKKEI225,ShanghaiComposite Open,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,TaiwanTWIIIndex,IBEXSpainIndex,ATX Austria,SwissMarketIndex
6/15/00,16369,10632.45996,17004.34,2056.998047,5305.34,6570.950195,526.19,6669.459961,500.350006,9726.599609,3131.800049,7222.77002,199.64,295.64,748.469971,8733.200195,10806,1067.76001,7894.899902
6/16/00,16567,10689.62988,16861.91,2052.792969,5379.57,6597.72998,523.22,6563.209961,500.850006,9835.099609,3136.300049,7292.77002,200.21,293.06,772.97998,8623.400391,10880.7002,1066.839966,7851.5
6/19/00,16423,10717.75977,16980.61,2038.447998,5338.49,6644.169922,530.74,6453.069824,498.980011,9843.700195,3151,7347.75,200.212,293.06,793.669983,8742.209961,10876,1070.160034,7791.799805
6/20/00,16854,10448.40039,16914.95,2047.348022,5281.57,6436.470215,535.34,6552.470215,485.779999,9967.099609,3154.300049,7344.439941,195.31,289.52,795.080017,8672.799805,10723.79981,1054.910034,7824.299805
6/21/00,16854,10558.90039,16654.42,2050.068115,5271.82,6569.52002,536.92,6520.759766,480.51001,9977.299805,3178.5,7134.169922,191.25,289.38,772.179993,8587.400391,10595.59961,1047.72998,7805.399902
6/23/00,16977,10446.83008,16338.7,2075.562012,5312.13,6537.410156,536.92,6686.680176,484.98999,10102.7002,3177.100098,7207.589844,193.17,291.27,782.280029,8429.049805,10530.5,1058.25,7771.600098
6/26/00,16977,10495.96973,16318.31,2078.426025,5253.3,6513.620117,536.92,6576.149902,478.160004,10039.29981,3171.800049,7227.049805,194.63,294.2,799.580017,8433.900391,10413.09961,1058.25,7672.5
6/27/00,16743,10376.46973,16591.35,2071.566895,5231.93,6438.950195,542.86,6443.450195,476.029999,10229.2002,3178.899902,7112.149902,190.58,291.26,810.440002,8159.410156,10490.5,1058.439941,7685.399902
6/28/00,16532,10403.69043,16907.55,2070.376953,5240.58,6548.669922,547.37,6598.879883,469.190002,10150.59961,3190.199951,7056.819824,184.13,292,828.590027,8260.950195,10533.09961,1067.060059,7724.200195
6/29/00,16830,10541.58008,17210.08,2077.718018,5235.39,6630.580078,549.87,6747.52002,475.890015,10191.40039,3211.800049,6986.890137,179.3,290.8,815.030029,8329.769531,10488.90039,1073.3,7700.899902
6/30/00,16404,10506.38965,17106.01,2054.51709,5209.53,6551.339844,556.12,6676.319824,487.040009,10060.29981,3254.399902,7029.549805,180.9,294.22,824.830017,8079.279785,10528.2002,1073.3,7734.5
